iter	Passed	Remaining
761	5774	9382
762	5784	9377
763	5792	9371
764	5801	9365
765	5806	9353
766	5814	9346
767	5821	9338
768	5827	9329
769	5837	9324
770	5845	9318
771	5853	9311
772	5858	9298
773	5861	9284
774	5866	9273
775	5875	9267
776	5884	9261
777	5889	9250
778	5896	9242
779	5903	9233
780	5908	9221
781	5917	9216
782	5925	9209
783	5930	9198
784	5938	9190
785	5942	9179
786	5949	9170
787	5958	9164
788	5965	9155
789	5972	9148
790	5982	9143
791	5988	9134
792	5997	9128
793	6005	9122
794	6013	9115
795	6023	9110
796	6030	9102
797	6039	9097
798	6049	9093
799	6058	9087
800	6066	9081
801	6075	9075
802	6084	9070
803	6092	9062
804	6098	9052
805	6103	9042
806	6113	9037
807	6118	9026
808	6127	9020
809	6135	9013
810	6138	8999
811	6145	8991
812	6150	8979
813	6158	8973
814	6165	8964
815	6174	8959
816	6183	8954
817	6187	8941
818	6195	8933
819	6203	8926
820	6208	8916
821	6216	8908
822	6224	8901
823	6227	8888
824	6235	8880
825	6242	8871
826	6245	8858
827	6252	8850
828	6257	8838
829	6260	8825
830	6270	8820
831	6278	8813
832	6286	8806
833	6289	8793
834	6293	8780
835	6300	8772
836	6304	8760
837	6311	8751
838	6316	8741
839	6324	8734
840	6331	8725
841	6336	8714
842	6344	8707
843	6352	8700
844	6359	8692
845	6362	8679
846	6368	8669
847	6375	8660
848	6384	8655
849	6392	8649
850	6395	8635
851	6404	8630
852	6409	8618
853	6418	8612
854	6427	8607
855	6431	8595
856	6440	8589
857	6444	8577
858	6451	8569
859	6459	8563
860	6468	8556
861	6476	8550
862	6480	8538
863	6488	8531
864	6496	8524
865	6505	8518
866	6514	8513
867	6523	8507
868	6526	8494
869	6532	8485
870	6537	8474
871	6543	8464
872	6551	8457
873	6560	8451
874	6564	8439
875	6569	8429
876	6574	8418
877	6582	8412
878	6590	8405
879	6597	8396
880	6604	8389
881	6613	8382
882	6618	8372
883	6627	8366
884	6630	8354
885	6639	8348
886	6648	8342
887	6656	8335
888	6665	8329
889	6670	8319
890	6678	8312
891	6686	8305
892	6694	8298
893	6701	8291
894	6707	8281
895	6716	8275
896	6719	8263
897	6727	8256
898	6735	8248
899	6742	8241
900	6749	8232
901	6752	8220
902	6757	8208
903	6762	8199
904	6769	8190
905	6777	8184
906	6786	8178
907	6789	8165
908	6799	8160
909	6807	8154
910	6817	8149
911	6826	8143
912	6835	8137
913	6838	8125
914	6847	8119
915	6855	8112
916	6863	8105
917	6866	8093
918	6871	8083
919	6878	8074
920	6886	8068
921	6895	8062
922	6904	8056
923	6907	8044
924	6914	8036
925	6923	8029
926	6929	8021
927	6938	8015
928	6945	8006
929	6951	7997
930	6960	7992
931	6969	7986
932	6978	7980
933	6986	7973
934	6994	7966
935	7002	7960
936	7009	7952
937	7014	7941
938	7022	7934
939	7025	7922
940	7033	7915
941	7042	7910
942	7051	7903
943	7059	7896
944	7065	7888
945	7070	7877
946	7077	7870
947	7086	7864
948	7095	7857
949	7103	7851
950	7112	7845
951	7122	7840
952	7126	7829
953	7136	7824
954	7142	7815
955	7145	7803
956	7152	7794
957	7157	7784
958	7164	7777
959	7174	7772
960	7182	7765
961	7188	7756
962	7197	7750
963	7204	7742
964	7214	7738
965	7222	7731
966	7228	7721
967	7236	7715
968	7245	7709
969	7252	7701
970	7261	7695
971	7270	7689
972	7278	7682
973	7286	7675
974	7294	7669
975	7304	7663
976	7312	7657
977	7316	7645
978	7325	7639
979	7333	7633
980	7341	7625
981	7349	7618
982	7353	7608
983	7362	7601
984	7369	7593
985	7372	7581
986	7380	7575
987	7389	7568
988	7398	7562
989	7407	7556
990	7415	7549
991	7422	7542
992	7430	7535
993	7439	7529
994	7447	7522
995	7456	7515
996	7464	7509
997	7473	7503
998	7482	7497
999	7490	7490
1000	7496	7481
1001	7505	7475
1002	7512	7467
1003	7517	7457
1004	7525	7451
1005	7533	7443
1006	7542	7437
